LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(pixel),(pixel),(pixel),(sec),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID177929,177929,69,4338.34814453125,82.04335737520634,99.38569674125367,0.0,148.0,148,1.5,1,,3727.5238095238096,3549.0,1913.0,6190.0,78278.0,1296.371112723807,930.7142857142857,943.0,254.0,1692.0,19545.0,466.5651233061836,0.3068822598888922,1.3503812457044497,0.23139441478051312,0.7497039465938974
ID177930,177930,73,4284.2060546875,68.0485513319034,66.88388178847788,0.0,149.0,149,1.5,1,,3606.4285714285716,3151.0,2277.0,5995.0,75735.0,1166.158761551298,913.1904761904761,923.0,298.0,1659.0,19177.0,426.5575716181368,0.31521194084281406,1.4823698354150117,0.27184248704663216,0.9151614543804513
ID177931,177931,72,4421.2314453125,96.28733272075212,91.03816078622087,0.0,149.0,149,1.5,1,,3752.0,3300.0,2134.0,6187.0,78792.0,1271.9091162500565,1131.2380952380952,1122.0,322.0,2076.0,23756.0,547.088101201434,0.3132246229616805,1.4071928612700901,0.22362939831954412,0.755798004617636
ID177932,177932,69,4227.1337890625,82.0582624378097,99.39597765508707,0.0,149.0,149,1.5,1,,3713.5714285714284,3543.0,1916.0,6014.0,77985.0,1280.5153092184635,927.0952380952381,947.0,258.0,1678.0,19469.0,451.6199624420853,0.30296669903825063,1.3486479023576088,0.22629714195732614,0.7576429190960426
ID177926,177926,,4077.49462890625,82.00669346395543,99.29006308893541,0.0,150.0,150,1.5,1,,3767.809523809524,3729.0,1926.0,6070.0,79124.0,1298.7304808561173,872.5238095238095,898.0,254.0,1594.0,18323.0,431.68583704444364,0.2749032229477424,1.2511302201129815,0.22521920109663235,0.7430723502999351
ID177927,177927,,3980.485107421875,83.58340611373852,104.84882580058441,0.0,150.0,150,1.5,1,,3758.8571428571427,4090.0,1685.0,5985.0,78936.0,1345.7794501965873,909.9047619047619,791.0,332.0,1671.0,19108.0,418.3678889161912,0.2712109042376515,1.191794730487648,0.2517011258955988,0.8746858587509393
ID177924,177924,73,4474.783203125,68.07258643602265,66.90255584758502,0.0,150.0,150,1.5,1,,3761.095238095238,3339.0,2324.0,6326.0,78983.0,1217.4062142424732,917.8095238095239,934.0,272.0,1697.0,19274.0,444.36726016298934,0.313963450645062,1.476401985921656,0.2790284851601772,0.9011743592574736
ID177925,177925,72,4421.541015625,96.25334939779559,91.03695442804394,0.0,150.0,150,1.5,1,,3738.2380952380954,3346.0,2043.0,6211.0,78503.0,1261.6288243680035,1073.6190476190477,1108.0,323.0,1964.0,22546.0,508.55142082099,0.31285799098594375,1.4121955937073405,0.2171237313755129,0.753213152819903
ID177936,177936,,4119.92626953125,83.60722780900777,104.71224939865112,0.0,151.0,151,1.5,1,,3693.5238095238096,3734.0,1712.0,5939.0,77564.0,1319.2158511421708,906.6190476190476,853.0,336.0,1675.0,19039.0,406.357782771596,0.29684541400022574,1.2817318340414088,0.253679254601126,0.9029106306325879
ID177934,177934,72,4426.85400390625,96.27630032955629,91.05495151549538,0.0,151.0,151,1.5,1,,3747.3809523809523,3288.0,2113.0,6147.0,78695.0,1270.5338042016228,1089.904761904762,1101.0,305.0,1981.0,22888.0,514.3691188982775,0.3146837959521204,1.4119674541675524,0.22144248472396405,0.7683013261700685
ID177935,177935,,410.7063903808594,81.88508579517332,98.83282614824292,0.0,151.0,151,1.5,1,,657.6190476190476,614.0,345.0,1029.0,13810.0,227.78399333370118,870.6666666666666,878.0,268.0,1626.0,18284.0,426.8887833304283,0.1001463808091772,0.5256128348790201,0.22101924120372304,0.7383711947015535
ID177933,177933,73,4513.439453125,68.05977809115312,66.85732258820236,0.0,151.0,151,1.5,1,,3776.714285714286,3324.0,2336.0,6278.0,79311.0,1239.1605280534538,921.1904761904761,938.0,304.0,1663.0,19345.0,440.83949676130646,0.3170263908435355,1.4672951926337128,0.2814865111041187,0.9179995875224327
ID177950,177950,,799.3034057617188,96.24926623530199,90.99523454849374,0.0,152.0,152,1.5,1,,743.7619047619048,658.0,443.0,1224.0,15619.0,226.01612879657608,1089.047619047619,1055.0,296.0,2050.0,22870.0,525.0437578136203,0.2681233698354866,1.3915462867031876,0.2211906208074969,0.7513886202641957
